Test_Case,TC_Setup,TC_Steps,TC_Expected_Results,TC_Primary_Domain,TC_Secondary_Domain,TC_Component,TC_Labels
MCA-3774396,"0. It's necessary 2 devices: 1 Source and 1 DUT
- DUT: this device will be treated as the Target device (the one that will RECEIVE the data transfer)
- Source: this device will be treated as the Source device (the one that will SEND the data transfer). In case DUT is at the same Android OS than Source, it is preferred they should be the same product

On Source device:
- Must have a SIM Card inserted
- Must have a SD Card inserted with the same data mass located on the following drive: https://drive.google.com/drive/folders/15eUkFpvGWj0EfthA3OKXB7Ppl6fGIo4b => DataMass from SD Ca
rd
- Must have the same data mass located on the following drive: https://drive.google.com/drive/folders/15eUkFpvGWj0EfthA3OKXB7Ppl6fGIo4b => DataMass-5GB
- Must have Google Calendar, iMessages, SMS, MMS text and associated media, Third-party apps for iOS, Local contacts, SIM contacts, WhatsApp messages, Call logs, Wi-Fi hotspot settings

On DUT device:
- Must be connected into a Wi-Fi or mobile network
- Must be in Setup Wizard screen

Both devices (Source and DUT) must be connected by a cable that is supported according to the device's HW USB (USB-C to USB-C cable or OTG cable)","0. On DUT device, advance on Setup Wizard until the “Copy apps & data” screen and plug the USB cable on both devices

1. On source device, tap on ""Copy"" button 

2. On DUT device, on Checklist screen, select which contents will be copied, then press ""Copy"" button

3. During the data transfer, play music on source device

4. During the data transfer, watch video on source device

5. During the data transfer, take photos or recorde videos on source device

6. During the data transfer, listen to music by using Bluetooth headset on source device

7. During the data transfer, set an alarm to ring before the transfer completes on source device

8. Complete Setup Wizard and check if all data has been tranferred to DUT device","0. On both devices a screen is displayed when recognizing the devices

1. The screen lock is confirmed and the copy process is initiated confirming the account too

2. The copy process starts

3. On DUT device, data transfer must not be interrupted

4. On DUT device, data transfer must not be interrupted

5. On DUT device, data transfer must not be interrupted

6. On DUT device, data transfer must not be interrupted

7. On DUT device, data transfer must not be interrupted

8. After complete data transfer, both devices must display ""Copying's done"" screen with all types of files copied. (Check the Test Step Coments to confirm that all data transfered successfully)",Google Experience,Backup & Restore,"Accessories,GMS,Setup Wizard",Android_S Android_T Core_reg common_validation_reg transfer_over_USB_cable
MCA-3774397,"0. It's necessary 2 devices: 1 Source and 1 DUT
- DUT: this device will be treated as the Target device (the one that will RECEIVE the data transfer)
- Source: this device will be treated as the Source device (the one that will SEND the data transfer)

On Source device: (Android S or higher)
- Must have a SIM Card inserted
- Must have the same data mass located on the following drive: https://drive.google.com/drive/folders/15eUkFpvGWj0EfthA3OKXB7Ppl6fGIo4b => DataMass-552MB
- Must be connected into a Wi-Fi or mobile network

On DUT device:
- Must be connected into a Wi-Fi or mobile network
- Must be in Setup Wizard screen

Both devices (Source and DUT) must be connected by a cable that is supported according to the device's HW USB (USB-C to USB-C cable or OTG cable)","0. On DUT device, at choosing the system language screen, tap on Vision settings, then, toggle on Use TalkBack

1. On DUT device, advance on Setup Wizard until the “Copy apps & data” screen and plug the USB cable on both phones

2. On support device tap on ""Copy"" button 

3. On DUT device, SKIP the Google Account signin

4. On DUT device, select which contents will be copied, then press ""Copy"" button

5. Complete Setup Wizard and check if all data has been tranferred to DUT device","0. TalkBack must give the user the spoken feedback of all text displayed on the Setup Wizard screen

1. The screen lock is confirmed

2. The copy process starts on both devices

3. On DUT device, checklist screen will be displayed

4. On DUT device, the copy process starts

5. Check the Test Step Coments to confirm that all data transfered successfully",Google Experience,Backup & Restore,"Accessories,GMS,Setup Wizard",Android_S Android_T Core_reg common_validation_reg transfer_over_USB_cable
MCA-3774398,"0. It's necessary 2 devices: 1 Source and 1 DUT
- DUT: this device will be treated as the Target device (the one that will RECEIVE the data transfer)
- Source: this device will be treated as the Source device (the one that will SEND the data transfer)

On Source device: iPhone - Model Name: iPhone 8 or higher
- Must have the same data mass located on the following drive: https://drive.google.com/drive/folders/15eUkFpvGWj0EfthA3OKXB7Ppl6fGIo4b => DataMass-552MB
- Must have SMS, Google Calendar, iMessages, SMS, MMS text and associated media, Third-party apps for iOS, Local contacts,SIM contacts, WhatsApp messages, Call logs, Wi-Fi hotspot settings


On DUT device: (Android T)
- Must be a Motorola Device not secure
- Must be connected into a Wi-Fi or mobile network
- Must be in Setup Wizard screen

Both devices (Source and DUT) must be connected by a cable that is supported according to the device's HW USB (USB-C to USB-C cable or OTG cable)","0. On DUT device, advance on Setup Wizard until the “Connect both devices using the cable"" screen and plug the USB cable on both phones

1. Make the source device accessible by confirming the trust connection between devices

2. On DUT device, in Checklist screen, select which contents will be copied, then press ""Copy"" button

3. On DUT device, after configuring Google services, data transfer will be initialized

4. Complete Setup Wizard and check if all data has been tranferred to target device","0. A screen is displayed when recognizing the device

1. On source device, the lock screen is confirmed and Google account is required on target device

2. On DUT device, the setup of Google services must be required

3. On DUT device, the ""Copying your data..."" screen must be displayed through a progress bar

4. Once the transfer is complete, compare the files according to the source device files",Google Experience,Backup & Restore,"Accessories,GMS,Setup Wizard",Android_S Android_T Core_Reg common_validation_reg transfer_over_USB_cable
MCA-378,"0. No Google account registered on the device
1. Device has a Network connection","0. Open Gmail App
1. Use a Google account to log in on Gmail app
2. Sync the Contacts from the Google account","0. Gmail is opened with no account registered
1. Google Account logged successfully
2. Contacts of the account are synced with the device and no crashes happen",PIM,Contact,"Contacts,GMS",AOSP_Contacts Android_O_updated BB8 BB8_refactored GMS_Contacts common_validation_reg difficulty_level_low non_network_dependent product_leverage
MCA-379,"0. 1. One Google account registed on the phone.
2. Network connection is avaiable","0. 1. From phone side, add 3 new contacts.

2. From phone side, edit 3 existing contacts, which are different with above steps.

3. From phone side, delete 3 existing contacts, which are different with above steps.

4. Sync contacts(automatically or manually).","0. 4. Contacts of this account should be synced to web server side, check by PC Gmail/Google contacts.

Verify that the phone has no crashes(anr/panic/tombstones/...)
Verify that the function works",PIM,Contact,"Contacts,GMS",AOSP_Contacts Android_O_updated BB8_not_applicable GMS_Contacts common_validation_reg difficulty_level_low non_network_dependent product_leverage
MCA-380,"0. 1. One Google account registed on the phone.
2. Network connection is avaiable","0. 1. From PC Google contacts, add 3 new contacts.

2. From PC Google contacts, edit 3 existing contacts, which are different with above steps.

3. From PC Google contacts, delete 3 existing contacts, which are different with above steps.

4. Sync contacts(automatically or manually).","0. 4. Contacts of this account should be synced to phone, after web server side change.

Verify that the phone has no crashes(anr/panic/tombstones/...)
Verify that the function works",PIM,Contact,"Contacts,GMS",AOSP_Contacts Android_O_updated BB8_not_applicable GMS_Contacts common_validation_reg difficulty_level_low non_network_dependent product_leverage
MCA-394013,0. 1. Three finger screenshot is enable under Moto Actions,"0. Take screenshots by using Three finger screenshot gesture if available, if not available use Power down + Power button combination
1. Open screenshot through side left on display
2. Tap on Edit icon and make some changes in recently captured screenshot
3. Verify sharing the screenshot in different ways","0. Screenshot is taken.
1. Screenshot should be displayed with ""edit"", ""share"", ""Google Lens"" (if it available) and ""Delete"" menu
3. Share action should be performed properly",GMS,Gphotos,"GMS,MME - Audio",Android_P_updated BB8 EDA GMS_Reg binary_leverage common_validation_reg no_efficiency non_network_dependent
MCA-401037,"0. Make sure DUT is camped in Verizon 4G LTE Mode.
Have a support phone with supports 4G LTE.
","0. 1.Dial *1# from the dialer.
2.Check the Dialing screen exits upon DIAL failure 
3.Check the IMS is registered in DUT and call the Support phone from DUT
4.Repeat steps 1 to 3 multiple times
","0. 1. Call will go over 1x and ""Invalid"" is heard on the phone
2. Dialing screen exits successfully.
3. IMS is registered back within few seconds and Call goes over LTE.
4. All the time Call to support phone is initiated over LTE.",CBS,VZW,"CBS - VZW,Call,Dialer",BB8 EDA EDA_updated VZW_Reg common_validation_reg execute_davros execute_davros_brazil execute_davros_china execute_davros_india execute_femtocell_vzw network_dependent
MCA-401133,"0. 1. Phone is master reset before executing this test.
2. ""ro.carrier"" is set to timbr

Case 1: [SIM that matches ro.carrier] in slot 1 and any other carrier SIM in slot2

Case 2. New [SIM that matches ro.carrier] in slot1 and other carrier in slot2

Case 3: [SIM that matches ro.carrier] inserted in both the slots.



","0. Case 1:
1. With [SIM that matches ro.carrier] in slot 1 and any other carrier SIM in slot2,Power ON the device
2. Power OFF the device
3. SWAP SIMs ( i.e [SIM that matches ro.carrier] in slot 2 and any other carrier SIM in slot1)
4. Power ON the device.

Case 2. 
1.  Switch OFF mobile data
2.  Power OFF the device
3.  Insert New [SIM that matches ro.carrier] in slot1 and other carrier in slot2
4.  Power ON the device.
5. Power OFF the device

Case 3:
1. With both [SIM that matches ro.carrier]  inserted on the DUT Power ON the device.




","0.  Case1:
1: The phone camps to both networks and displays a notification ""Your device is configured for the data connection with <SIM name that matches ro.carrier>"" . Refer the Figure 1 attachment in  http://idart.mot.com/browse/FEATURE-4562
[Only a notification screen is displayed, NO SIM card selection option]
2. Device is powered OFF successfully
4.  The phone camps to both networks and displays a notification ""Your device is configured for the data connection with <SIM that matches ro.carrier>"" . Refer the Figure 1 attachment in  http://idart.mot.com/browse/FEATURE-4562
[Only a notification screen is displayed, NO SIM card selection option]

Case 2: 
3,4. The phone camps to both networks and displays a notification ""Your device is configured for the data connection with <SIM that matches ro.carrier>"" . Refer the Figure 1 attachment in  http://idart.mot.com/browse/FEATURE-4562
Data is enabled.

Case 3:
1. Instead of showing the carrier specific dialog (Figure 1 in http://idart.mot.com/browse/FEATURE-4562), the default pop-up or notification saying that a new SIM card has been inserted is displayed (Figure 2 in http://idart.mot.com/browse/FEATURE-4562) and the dialog to select the default data SIM card is displayed.





",CBS,LATAM,Dual Sim,BB8_not_applicable Brazil_Support CN_BR_Support EDA_updated FEATURE-4562 Latam_Reg brz_specific common_validation_reg network_dependent
MCA-401719,"0. Volte enabled SIM is inserted in the DUT.
Airplane mode is ON
2. Device is connected to an LTE network","0. Switch OFF airplane mode.

1. Go to Settings > About phone > Status and check the IMS registration status. Try to change IMS field

2. Manually switch to CDMA1x/UMTS network. Make a CDMA1x/UMTS call

Note: Instead of manually switching to CDMA1x/UMTS, try to move the test device out of LTE coverage and checking for the IMS registration in status.
3. End the call after a few minutes. Check the IMS registration status.
4. Now move back to LTE network. Check the IMS registration","0. Airplane mode is disabled successful

1. IMS should be registered. IMS field should not be changeable
2. DUT switches to CDMA1x/UMTS network. Call is initiated successfully.
3. Call is terminated. IMS status must be registered.

4. IMS status is registered.",VoLTE,VoLTE Voice Call,"Settings,VoLTE",BB8 CN_BR_Support CN_Basic_Request CN_IN_Support CN_Partial_Support_TMO CN_US_Support EDA_updated FEATURE-4627 FEATURE-4635 MTK_Reg common_validation_reg execute_davros execute_davros_brazil execute_davros_china execute_davros_india execute_femtocell_tmo execute_femtocell_vzw execute_live_att execute_live_cricket execute_live_mpcs need_update_auto product_validation_reg
MCA-401720,0. Hotspot enabled on DUT,"0. Connect two clients to the hotspot. Browse webpages on client using hotspot connection;

1. Move the host out of range i.e away from the clients range;
2. Move the host back to the range.","0. Clients are able to browse through webpages;

1. Both the client devices are disconnected from Hotspot;
2. Both the clients are connected back to hotspot and can browse through webpages.",Modem,Tethering,"Modem,WiSL - Wifi",Android_Q_updated BB8_not_applicable Core_Reg EDA_updated PRC_PRC PRC_Pickup Plat_Reg binary_leverage common_validation_reg difficulty_level_low feature_hotspot feature_network_internet no_efficiency product_validation_reg
MCA-401721,"0. 1. AoD is on.
2. Device screen lock is configured
3. FPS is trained and setup","0. 1. Display is OFF and Device is Locked
2. Receive a SMS, MT call, Email and a Third party app notification.
3. Use FPS to unlock the device.
4. Repeat step 2 
5. Use FPS to unlock device with un-matched finger
6. After 5 consecutive match failure with the fingerprint sensor, it's displayed a message to user use their back-up unlock method to unlock their device.","0. 3. .Device is unlock successfully and the display is turned On . There is NO flickering seen on the AOD screen


 5. Device remains locked and displays message of un-matched fingerprint.There is NO flickering seen on the AOD screen. 
6. It's displayed a message to ""swipe to unlock"" and use their back-up unlock method to unlock their device.",Mot Experience,Fingerprint,Moto Display,BB8_not_applicable Core_Reg Display_2ndSource EDA_updated binary_leverage common_validation_reg difficulty_level_medium fingerprint fps_2ndSource network_dependent
MCA-401724,"0. Video telephony capable VOLTE SIM is present in the device

Valid Volte contact capable of video telephony is present in contacts","0. Launch Contacts
1. Select one contact with active volte video icon
2. Press back
3. Press Home/Back/Recent app icons and relaunch contact app.
4. Receive a Voice call/Hangout Call/ Alarm trigger. 
5. After disconnection, Select one contact with an active volte video icon","0. A list of contacts should be displayed
1. Contact detailed view is displayed with active video icon
2. A list of contacts should be displayed
3. A list of contacts should be displayed
4. All interactions are handled gracefully.
5. Active video icons are still visible.",VoLTE,Video Call,"UX,VoLTE",AOSP_Dialer CN_Basic_Request EDA_updated FEATURE-5226 GMS_Dialer MTK_Reg Plat_Reg common_refactored common_validation_reg execute_davros execute_davros_brazil execute_davros_china execute_davros_india execute_femtocell_tmo execute_live_att execute_local_network_china product_validation_reg refactor
MCA-41092,"0. Test case created based on EDA
http://idart.mot.com/browse/IKVPREL1L-4303
1. Moto Display and Moto Action to open Camera are ON.
Use twist gestures to open the rear camera by default.","1. With some notifications wait display turn off.
Nudge the phone and just before Moto Display breath, make the twist gesture to quick draw camera.
2. Repeat this interaction many times with different moments of breath
3. Set the twisted gesture to turn on the front camera,and repeat step 1-2","1. Rear camera should be opened normally with no superposition of any elements of Moto Display.
2. Moto Display elements should never superposes the camera viewfinder 
3. Gesture enable camera enables the front camera",Mot Experience,AoD,"Camera,Moto Actions,Moto Display",EDA Exp_Reg Plat_Reg analyzed common_validation_reg difficulty_level_low exp_common feature_common feature_quick_capture non_network_dependent prc_leverage product_validation_reg quick_capture quick_draw
MCA-41095,"0. Note: If application is not pre-loaded this case is not mandatory for Europe SW
1. Initial conditions:
Device has google  account
Wifi is disabled
If a Dual SIM device is under test -> DDS is set to SIM1

2. Set DDS to SIM2","1. Steps:
1.	Open Chrome browser
2.	Navigate to videojs.com
3.	Play the video.
4.     During Video, receive a SMS, MMS with video or audio, Call, Alarm notification and Email
5.     Change the audio volume, and repeat step 4
2. If applicable, repeat steps to SIM2","1. 3.     Verify the video is playing smoothly.
4.     Notification is warning, video should continue normally and audio should continue as set, MMS content is not corrupted and playable.
2. Same as above",Browser,Webpage access,"Browser,GMS,Settings",BB8_not_applicable EDA_updated GMS_Reg binary_leverage common_execute_local_network common_validation_reg difficulty_level_medium network_leverage not_mandatory_for_europe
MCA-41097,"0. Test case created based on EDA
http://idart.mot.com/browse/IKVPREL1L-2543
1. - Insert 2 SIM Cards

- For Android N, on DS settings, set the Call Preference to Always Ask

- For Android O, Dual SIM usage profile is set to Manual with no Manually assigned contacts and Call Preference set to Always Ask","1. Make a call to any number
2. On DS settings, set the call preference to SIM 1
Make a call to any number

3. While making the call, on the top of the screen, select the option ""Change SIM""
4. On DS settings, set the call preference to SIM 2
Make a call to any number

5. While making the call, on the top of the screen, select the option ""Change SIM""","1. Verify call is made using matching with carrier (in case the number dialed is the same carrier of one SIM Card inserted) or a popup appears to select  which SIM card to use. and a checkbox for ""Remember SIM for number"" should be available

On Android P: ""Remember SIM for number"" is seen as ""Remember this choice"" when calling a saved contact 
2. Verify call is made using SIM1
3. Verify that SIM is changed for call
4. Verify call is made using SIM2
5. Verify that SIM is changed for call",Dual SIM,DS Settings,"CBS - LATAM,Dual Sim",Android_O_updated Android_P_updated BB8 CN_Partial_Support EDA FEATURE-3789 Latam_Reg Plat_Reg common_validation_reg execute_davros execute_davros_brazil execute_davros_china execute_davros_india execute_local_network msx_ds product_validation_reg spotcheck_ds
MCA-41130,"0. 1. Device has google account 

Note: If application is not pre-loaded this case is not mandatory for Europe SW","0. Open Chrome browser and navigate to the page madebyevan.com/webgl-water
1. Follow the instruction on the screen and verify the image
2. While doing above steps receive Voice call, SMS, MMS, Email, Alarm
3. Navigate to html5test.com","1. There is no issue/force close when interacting with the object
2. Verify that browser work as expected and every interruption can be dismissed while browsing
3. Verify the score (More score is better, please list the score under Explanation field)",Browser,Webpage access,"Browser,GMS",BB8_not_applicable GMS_Reg Plat_Reg binary_leverage common_execute_local_network common_validation_reg difficulty_level_low not_mandatory_for_europe product_validation_reg
MCA-424,"0. 1. Location service is on and able to find my location
2. Network connection is available","0. 1. Launch Google Maps application
2. click on the search bar 3. Scroll down and click on ""Make this map area available offline"" 3. 
Try to swipe the maps or Zoom in/out in offline area box. After determine the area 4. After offline maps saved, disconnt the data connection, launch Google Maps again -> Zoom in/out the offline area on the maps","0. 4.1  Offline area needs between max and min value.
4.2  Offline maps can be downloaded successfully.
5. Saved offline maps opened 
6. The detail offline area can be displayed like online view.",GMS,MAP,GMS,BB8 GMS_Reg binary_leverage common_validation_reg difficulty_level_low non_network_dependent
MCA-425,"0. 1. Location service is on and able to find my location
2. Network connection is available

For detail instructions, please refer to the attached user guide of this suite","0. 1. Launch Google Maps application
2. Find or direct to one of the 3D buiding supported cities, such as Newyork. Try to  zoom in maps to max level.
3. User two finger to rotate the dirction, one is stop and one draw circle arc","0. 2. Before zoom  in to max level, 3D buidings will be displayed when the maps zoom in to some level
3. 3D buiding can be viewed in 360 angle perspective.",GMS,MAP,"GMS,Location,UX",BB8_not_applicable GMS_Reg binary_leverage common_validation_reg no_efficiency non_network_dependent product_leverage
MCA-428,,"0. Turn On Location 
1. From Homescreen, click on voice Input icon into Google Search box and say: ""Navigate to airport"" 
2. Start Navigation
3. Turn Off Location
4. Go back to Navigation",4. A popup will be displayed informing that to continue using it you have to turn On the Location service,GMS,MAP,"GMS,Location,Settings",Android_Q_updated BB8_not_applicable GMS_Reg binary_leverage common_validation_reg difficulty_level_low non_network_dependent
MCA-430,0. signed in to Google Maps (Not all the filtering options are available for all languages and regions),"0. 1. Search for a place or type of place. For example, ""restaurant"" or ""coffee shop.""
2. Select one of the filters displayed on the filter bar at the top of the result list page. Verify all the filter options.
3.To remove the filters, touch ""more filters"" button and then select ""clear filters"" and ""apply"" button.
","0. 1. A list of places is displayed on Google Maps
2. The list of places is filtered according to the filter selected by the user
3. All the filters are cleared ",GMS,MAP,"GMS,Location",BB8 GMS_Reg binary_leverage common_validation_reg no_efficiency non_network_dependent product_leverage
MCA-43004,"0. 1. 2 SIM cards in sim slots.
2. Phone account settings: Make calls with always ask.
3. Phone account settings: Automatic SIM selection is off.
4. 3.5 mm wired headset is plugin.
","0. 1. Play FM radio
2. Dial a number through dialer
3. Drag down notification curtain and re-play FM radio.
4. Press back key to return SIM selection dialog.
5. Select one of SIM to make call.
","0. 1. FM radio is playing
2. SIM selection dialog pops up.
3. FM radio is playing.
5. Call can be placed and FM radio stops playing.
",FM,FM Radio,"Call,Dual Sim,FM Radio",Exp_Reg common_validation_reg difficulty_level_low fm_radio
MCA-431,0. Device has google account signed in.,"0.  Launch Maps and Search for places/nearby restaurants etc
1. Click button to get directions

Enter a location name in End Point text field and search for places/nearby, restaurants, etc.

2. Click directions choose on 
Driving
Transit
Walking
Cycling


Verify bike directions with route options include elevation profiles
3. Again launch Maps->Click on the user icon at the top right -> Settings and sign out of Google Maps","0. Search places are listed
1. End point text field is editable and places,restaurants can be searched

Maps gets directions for you
2. Relevant information is displayed
3. Sign out is successful",GMS,MAP,GMS,BB8 GMS_Reg binary_leverage common_refactored common_validation_reg no_efficiency non_network_dependent
MCA-434,"0. Device location permission allowed to Google Maps app
1. The device has a Google account signed in","1. Launch Google Maps from App tray

2. Select direction arrow from search bar","1. Maps app is launched without any issues
2. Start point text field should be available in the google navigation screen.
Default location of start point should be the current location of the device.",GMS,MAP,GMS,BB8 GMS_Reg binary_leverage common_validation_reg no_efficiency non_network_dependent
MCA-437,,"0. Open the Google Maps app
1. Search for a place or drop a pin on the map
2. At the bottom, tap the place name or address
3. Scroll down and select the photo labeled ""Street View"" or select the thumbnail with a Street View icon
4. When you’re done, go to the top left and tap Back",3. Google Maps Navigation should use the street view to help user get destination,GMS,MAP,"GMS,Location,UX",BB8 GMS_Reg binary_leverage common_validation_reg difficulty_level_low non_network_dependent product_leverage
MCA-438,1. Navigation is in Progress,"0. Launch Google maps from Apps tray 
1. Select direction arrow  from  search bar to navigate to a place
2. Tap on map to Zoom in and Zoom out
3. Select ""Menu hard key"" ->  ""Mute""
4. Select "" Menu hard key"" -> ""Exit Navigation""","2. Map view should zoom in while navigation is in progress. Navigation should not be interrupted.
3. - Turn-by-turn voice guidance should be muted.
- Navigation and automatic rerouting functionality should work as expected
4. Google Navigation should exit",GMS,MAP,"GMS,Location,UX",BB8_not_applicable GMS_Reg binary_leverage common_validation_reg difficulty_level_low non_network_dependent product_leverage
MCA-43935,"0. 1. 2 SIM cards are inserted in device
2. Default data is SIM1
3. SIM1 is camping 4G network
","0. 1. Switch network mode to 2G, then MO and MT SMS via SIM1 and SIM2
2. Switch network mode to 3G, then MO and MT SMS via SIM1 and SIM2
Note: For Titan CT, SIM 1 does not support TD-SCDMA, only support 2G and 4G for CMCC SIM 
3. Switch network mode to 4G/LTE, then MO and MT SMS via SIM1 and SIM2
4. Set Default Data for SIM2 and repeat all steps above
","0. 1. Each SIM can send/receive MO and MT SMS successfully. For MT message, when open message app is opened unread message is on the top and marked as unread (bold text).
2. Each SIM can send/receive MO and MT SMS successfully. For MT message, when open message app is opened unread message is on the top and marked as unread (bold text).
3. Each SIM can send/receive MO and MT SMS successfully. For MT message, when message app is opened unread message is on the top and marked as unread (bold text).
4. The same results should be reproduced for SIM2",Dual SIM,DS Messaging,"FW&HAL,Messaging,Modem",APAC_Reg BB8 FEATURE-3789 Latam_Reg Plat_Reg common_validation_reg execute_davros execute_davros_brazil execute_davros_china execute_davros_india execute_local_network product_validation_reg
MCA-43978,0. Have an exchange account set on the device,"0. Send & receive emails without attachments
1. Send & receive emails with attachments 
2. Preview & save attachments after an email is received
3. Check sync frequency default setting and sync email manually, 
4. Send one email from a support email account

5. Change sync frequency to 30 minutes and sync email manually
6. Send a new email from a support email account
7. Explore other email settings","0. Emails without attachments are sent & received

1. Emails with attachments are sent & received properly
2. The attachments can be previewed and saved on Downloads
3. Sync frequency is 15 minutes by default
4. There will be a new email in 15 minutes after manually sync
5. Sync frequency is set to 30 minutes
6. The new email will be received only 30 minutes later
7. Email should work properly",Email,Exchange,Enterprise,BB8 BB8_refactored Core_Reg EDA_updated binary_leverage common_line common_validation_reg difficulty_level_high low_pri_auto non_network_dependent
MCA-441,,"0. 1. Launch Google maps from Apps tray
2. Enter a location name in the location search bar and select Search.3. Touch and hold a location on a map to open an info window with the address and a Street View thumbnail.","0. 1. Searched  location should be displayed in the map with a pointer.
2. Location information screen should be launched.",GMS,MAP,"GMS,Location",BB8 GMS_Reg binary_leverage common_validation_reg no_efficiency non_network_dependent product_leverage
MCA-445,"0. - Landscape view should be supported by the device
- Google Earth installed on phone","0. Open Google Maps
1. Rotate the phone to landscape
2. Enter a location name in the location search bar and select Search
3. Tap on the Location Pointer
4. Check for Street view option
5. Select Street view option","0. Google Maps should open succesfully.
1. Phone display should display Google Maps in landscape orientation.
2. Should be possible search and find an existent city/place
3. App should go for place after pointer click
5. App should display a street view from a mapped",GMS,MAP,"Display,GMS,Location",BB8 GMS_Reg binary_leverage common_validation_reg difficulty_level_low non_network_dependent
MCA-447,,"0. 1. Rotate the phone to landscape

2. Enter a location name in the location search bar and select Search.

3. Tap on the Location Pointer.

4. Check for Street view option.

5. Select Street view option

6. Tap compass icon","0. Compass mode lets you to see an angled view of the area around you, oriented in the direction in which you''''re facing or moving.",GMS,MAP,"GMS,Location",BB8 GMS_Reg binary_leverage common_validation_reg no_efficiency non_network_dependent
MCA-448,0. Use the preloaded app for music (Play music or Youtube music). ,"0. Open preloaded Music app, select a playlist and Shuffle all

1. Tap on Search icon to search any song

2. Change app views, change orientation

3. Find an album or song you want to play and it to queue

","0.  Music starts playing on selecting Shuffle all

1. Song suggestions are listed based on the search string.
2. No crash is observed on changing views or on orientation changes
3. Song is added to queue",GMS,Music,GMS,BB8_not_applicable GMS_Reg binary_leverage common_validation_reg low_pri_auto no_efficiency non_network_dependent product_leverage
MCA-453,0. Lock screen enabled. Music files in DUT,"0. Open Music player and select any music to play and increase Volume up/down

1. Go to Music settings > Equalizer  > 'Audio Effects' and switch between different profiles

2. Press power button to lock the device

3. Recieve MT call/SMS","0. Music controls are actionable and no crash observed

1. The audio effect is changed as per the selected profile

2. Music playback controls are actionable in locked screen 

3. SMS/MMS notification is heard and is available in notification curtain. 
On accepting call Music playback is stopped.",GMS,Music,GMS,BB8_not_applicable GMS_Reg binary_leverage common_execute_local_network common_validation_reg difficulty_level_low network_leverage
MCA-455,"0. Google account is added.
Use the preloaded app for music (Play music or Youtube music).

1. For Play Music:
Another account added which has uploaded songs to Google Play website.
For Youtube Music:
Account with premium service.","0. Open the Music app > Play music

1. For Play Music:
Go to Albums, search and play songs uploaded online or songs bought from Google Play
For Youtube Music:
Go to Library, tap on Albums and Play songs.

Comments: pls use Youdao music if test in China

2. For Play Music:
Settings > Touch Quality on mobile network
For Youtube Music:
While music is playing, tap on 3 dots, then select Quality
3. Select a level
","0. User is able to stream online music from Music app 
1. Music is played
3. User is able to stream online music from Music app
",GMS,Music,GMS,BB8_not_applicable GMS_Reg audio_check binary_leverage common_execute_local_network common_validation_reg difficulty_level_medium network_leverage
MCA-456,0. Google account is added with premium service for YT Music,"0. Open music app and play some music

1. Offline/online music download progress will start, cancel download

2. Open the music app > Tap an album or playlist

3. Start to reproduce a music then open Settings > Equalizer > SPEAKER and change Equalizer option

4. Now connect a wired headset and go to Settings > Equalizer > WIRED STEREO and change Equalizer optio
","0. User is able to play online/offline music from YT Music

1. On cancelling download, music download is stopped. No crash is observed

3. Sound is changed according to Equalizer settings

4. Sound is changed according to Equalizer settings
",GMS,Music,GMS,BB8_not_applicable GMS_Reg Plat_Reg binary_leverage common_validation_reg difficulty_level_medium non_network_dependent product_validation_reg
MCA-458292,,"0. Setup wallpaper for different screen lock type:
    1. Swipe
    2. Pattern
    3. PIN
    4. Password
1. Check lock screen wallpaper with following interaction:
1. power cycle
2. remove screen lock
3. re-enable screen lock","0. Wallpaper should be shown correctly on lock screen.
1. Wallpaper should be shown correctly on lock screen.",User Experience,Lock Screen,"Home(launcher),Lockscreen,Security",Android_N BB8_not_applicable Core_Reg android_n binary_leverage common_line common_validation_reg difficulty_level_low non_network_dependent
MCA-46,"0. Initial Setup
1. SIMCARD with mobile network inserted
2. Prepare few favorite contacts which names containing non-ASCII characters","0. 1. Prepare few contacts which names containing non-ASCII characters
2. Launch the Phone application
3. Press on the Speed Dial/Favorites tab.
4. Press on one of the Favorite contacts whose name contains non-ASCII characters and initiate a call.
5. During the call, add to the existing call another contact from the SPEED DIAL tab, whose name contains non-ASCII characters
6. Once both lines are connected, press the merge icon.
7. After call merged, select 'Manage Conference call"".","0. 4. Non-ASCII name shall be shown correctly on dialer.
5. Both Non-ASCII names shall be shown correctly on dialer.
6. ""Conference Call"" is displayed on the dialer",PIM,Dialer,"CBS - Others,Contacts,Dialer,Localization",APAC_Reg ATT_Reg Android_O_updated BB8 Boost_Reg Latam_Reg Retus_Reg Sprint_Reg TMO_Reg VZW_Reg common_refactored common_validation_reg execute_davros_brazil execute_davros_china execute_davros_india execute_local_network network_dependent network_leverage no_efficiency10
MCA-461,0. Use YT Music app if your device comes with YT Music preloaded instead of Google Play Music,"0. Open the Google Play Music app
1. Tap the Menu icon Google Play Music Menu icon -> Music library
2. Swipe to the ""Playlists"" menu
3. Select the playlist you'd like to change
4. For the song you'd like to move, touch and hold the lines next to the song title to drag it to your desired position

For YT Music: Edit should be selected in order to move the songs .",4. Song should be moved to desired position,GMS,Music,GMS,BB8 GMS_Reg binary_leverage common_validation_reg no_efficiency non_network_dependent product_leverage
